Product Name,Price (₹),Rating (★),Number of Buyers,Total Sold,Available Stock,Main Category,Sub Category,Discount (%),Seller,Return Policy,Product URL
"Dass, Sastry and Bali In Lite Smartwatches 14",2911.65,3.6,7081,2504,207,Electronics,Smartwatches,62,SuperComNet,TRUE,"https://www.flipkart.com/Dass,-Sastry-and-Bali-In-Lite-Smartwatches-14-3678"
"Borah, Purohit and Sen Vel Pro Kitchenware 3",40528.96,3.5,5284,4749,2021,Home,Kitchenware,0,ElectroWorld,FALSE,"https://www.flipkart.com/Borah,-Purohit-and-Sen-Vel-Pro-Kitchenware-3-1132"
Manne and Sons Modi Plus Microwaves 6,46040.63,4.8,3475,4898,2409,Appliances,Microwaves,59,FashionPlus,FALSE,https://www.flipkart.com/Manne-and-Sons-Modi-Plus-Microwaves-6-1086
Gupta-Varma Quaerat Lite Microwaves 5,21716.45,3,8420,2554,1181,Appliances,Microwaves,32,RetailNet,TRUE,https://www.flipkart.com/Gupta-Varma-Quaerat-Lite-Microwaves-5-7054
Tank-Gole Nesciunt Plus Decor 4,27017.99,3.1,1876,3104,367,Home,Decor,54,ElectroWorld,FALSE,https://www.flipkart.com/Tank-Gole-Nesciunt-Plus-Decor-4-7438
Chatterjee-Rajagopal Molestias Lite Headphones 13,39363.04,3.5,3427,4786,2269,Electronics,Headphones,0,RetailNet,TRUE,https://www.flipkart.com/Chatterjee-Rajagopal-Molestias-Lite-Headphones-13-9545
Mane Group Recusandae Plus Microwaves 2,30682.07,3.6,1502,1613,691,Appliances,Microwaves,0,RetailNet,TRUE,https://www.flipkart.com/Mane-Group-Recusandae-Plus-Microwaves-2-2015
"Ghosh, Bhardwaj and Bhatti Dicta Pro T-Shirts 7",782.35,4.4,3728,8949,1474,Fashion,T-Shirts,68,MobileHub,TRUE,"https://www.flipkart.com/Ghosh,-Bhardwaj-and-Bhatti-Dicta-Pro-T-Shirts-7-4936"
"Nath, Saha and Anand Eius Pro Kitchenware 2",24303.84,4.6,478,9887,1697,Home,Kitchenware,7,Flipkart Assured,TRUE,"https://www.flipkart.com/Nath,-Saha-and-Anand-Eius-Pro-Kitchenware-2-5241"
Sawhney-Tara Eaque Lite Shoes 8,19503.72,3.9,7329,6076,2121,Fashion,Shoes,0,SuperComNet,TRUE,https://www.flipkart.com/Sawhney-Tara-Eaque-Lite-Shoes-8-4141
Butala Group Nemo Lite Shoes 4,34124.49,4.8,4473,7239,3153,Fashion,Shoes,8,RetailNet,FALSE,https://www.flipkart.com/Butala-Group-Nemo-Lite-Shoes-4-7701
"Varkey, Bail and Nadig In Pro Smartwatches 1",18502.2,3.9,1136,3792,705,Electronics,Smartwatches,9,RetailNet,FALSE,"https://www.flipkart.com/Varkey,-Bail-and-Nadig-In-Pro-Smartwatches-1-5459"
Chandran-Goyal Numquam Plus Laptops 15,71159.58,4.2,9629,2242,454,Electronics,Laptops,0,Cloudtail India,TRUE,https://www.flipkart.com/Chandran-Goyal-Numquam-Plus-Laptops-15-4440
Raman-Bora Dicta Plus Lighting 11,47248.17,4,5751,9734,4027,Home,Lighting,57,RetailNet,FALSE,https://www.flipkart.com/Raman-Bora-Dicta-Plus-Lighting-11-8965
Nadig-Yohannan Iure Pro Shoes 10,23563.95,4.3,2070,6959,2555,Fashion,Shoes,66,Cloudtail India,TRUE,https://www.flipkart.com/Nadig-Yohannan-Iure-Pro-Shoes-10-3971
"Hayre, Sagar and Sahni Libero Lite Jeans 2",13585.07,5,1557,1145,533,Fashion,Jeans,11,ElectroWorld,TRUE,"https://www.flipkart.com/Hayre,-Sagar-and-Sahni-Libero-Lite-Jeans-2-4376"
Reddy Ltd Consequatur Ultra Lighting 5,33950.9,4.7,5312,3794,422,Home,Lighting,32,SuperComNet,TRUE,https://www.flipkart.com/Reddy-Ltd-Consequatur-Ultra-Lighting-5-8102
"Karnik, More and Bassi Natus Pro Jeans 5",28699.59,4.7,6439,9824,3736,Fashion,Jeans,33,Cloudtail India,FALSE,"https://www.flipkart.com/Karnik,-More-and-Bassi-Natus-Pro-Jeans-5-9515"
"Sehgal, Bumb and Nayar Quasi Lite Refrigerators 11",42774.78,4.5,4446,578,190,Appliances,Refrigerators,64,ElectroWorld,TRUE,"https://www.flipkart.com/Sehgal,-Bumb-and-Nayar-Quasi-Lite-Refrigerators-11-2366"
Bains and Sons Pariatur Pro Shoes 11,18673.59,3.5,8417,7124,644,Fashion,Shoes,19,Cloudtail India,FALSE,https://www.flipkart.com/Bains-and-Sons-Pariatur-Pro-Shoes-11-8252
Vaidya-Patla Assumenda Plus Furniture 12,36055.67,4.6,1841,5906,1827,Home,Furniture,0,Cloudtail India,TRUE,https://www.flipkart.com/Vaidya-Patla-Assumenda-Plus-Furniture-12-1459
"Varghese, Loyal and Kara Sunt Pro Shoes 9",21262.25,3.9,3890,2714,812,Fashion,Shoes,0,Flipkart Assured,FALSE,"https://www.flipkart.com/Varghese,-Loyal-and-Kara-Sunt-Pro-Shoes-9-2495"
"Magar, Dutta and Mani A Lite Microwaves 15",39932.06,3.8,7657,2356,834,Appliances,Microwaves,36,Cloudtail India,FALSE,"https://www.flipkart.com/Magar,-Dutta-and-Mani-A-Lite-Microwaves-15-2147"
Sandhu-Lanka Aperiam Lite T-Shirts 3,1610.13,4.6,7759,9414,2548,Fashion,T-Shirts,11,HomeCare Solutions,TRUE,https://www.flipkart.com/Sandhu-Lanka-Aperiam-Lite-T-Shirts-3-5561
"Dash, Kara and Goyal Voluptates Plus Dresses 12",20767.25,3.5,4858,2206,713,Fashion,Dresses,29,FashionPlus,TRUE,"https://www.flipkart.com/Dash,-Kara-and-Goyal-Voluptates-Plus-Dresses-12-8258"
Ganesan PLC Unde Ultra Laptops 12,146703.24,4.5,1057,160,53,Electronics,Laptops,44,SuperComNet,TRUE,https://www.flipkart.com/Ganesan-PLC-Unde-Ultra-Laptops-12-2383
Sastry and Sons Maiores Pro Dresses 14,37499.74,4.6,4417,5098,2323,Fashion,Dresses,62,ElectroWorld,TRUE,https://www.flipkart.com/Sastry-and-Sons-Maiores-Pro-Dresses-14-6573
Choudhury LLC In Pro Decor 1,4710.3,3.6,8429,869,320,Home,Decor,10,RetailNet,TRUE,https://www.flipkart.com/Choudhury-LLC-In-Pro-Decor-1-1794
Bhalla-Kota Reprehenderit Lite Decor 14,48130.82,3.1,2078,3322,1293,Home,Decor,0,FashionPlus,FALSE,https://www.flipkart.com/Bhalla-Kota-Reprehenderit-Lite-Decor-14-3094
Lata Group Quis Ultra Headphones 7,6768.72,3.4,7651,3739,1315,Electronics,Headphones,0,HomeCare Solutions,FALSE,https://www.flipkart.com/Lata-Group-Quis-Ultra-Headphones-7-1492
Thaman-Tailor Voluptatibus Pro Decor 15,7424.66,3.8,8542,3778,1488,Home,Decor,0,Flipkart Assured,FALSE,https://www.flipkart.com/Thaman-Tailor-Voluptatibus-Pro-Decor-15-7293
Kant-Modi Illum Ultra T-Shirts 12,639.03,3.3,966,245,55,Fashion,T-Shirts,0,HomeCare Solutions,TRUE,https://www.flipkart.com/Kant-Modi-Illum-Ultra-T-Shirts-12-4257
"Borah, Jain and Khatri Consequuntur Plus Kitchenware 4",25464.35,4.1,6661,3544,981,Home,Kitchenware,0,MobileHub,TRUE,"https://www.flipkart.com/Borah,-Jain-and-Khatri-Consequuntur-Plus-Kitchenware-4-3196"
"Venkatesh, Chahal and Ganesan Nemo Lite ACs 13",119.17,3.1,1615,7889,1715,Appliances,ACs,26,FashionPlus,FALSE,"https://www.flipkart.com/Venkatesh,-Chahal-and-Ganesan-Nemo-Lite-ACs-13-4672"
"Sha, Menon and Dugar Enim Ultra Refrigerators 12",40033.55,4.2,6466,9844,760,Appliances,Refrigerators,11,HomeCare Solutions,FALSE,"https://www.flipkart.com/Sha,-Menon-and-Dugar-Enim-Ultra-Refrigerators-12-5064"
"Merchant, Sen and Bava Deleniti Lite Microwaves 4",44437.11,3.5,9591,4229,1544,Appliances,Microwaves,0,RetailNet,TRUE,"https://www.flipkart.com/Merchant,-Sen-and-Bava-Deleniti-Lite-Microwaves-4-4992"
Zacharia-Gola Incidunt Lite Dresses 12,6504.38,4.9,954,9800,3989,Fashion,Dresses,47,RetailNet,TRUE,https://www.flipkart.com/Zacharia-Gola-Incidunt-Lite-Dresses-12-5946
Kata-Narula Odit Pro Washing Machines 8,37953.84,4.7,9298,1063,482,Appliances,Washing Machines,14,FashionPlus,TRUE,https://www.flipkart.com/Kata-Narula-Odit-Pro-Washing-Machines-8-8067
Bora Inc Quos Ultra Decor 11,21476.15,3.2,5696,2346,717,Home,Decor,36,Cloudtail India,FALSE,https://www.flipkart.com/Bora-Inc-Quos-Ultra-Decor-11-7376
Shukla-Venkatesh Tenetur Pro Dresses 5,48629.49,3.4,8003,2733,818,Fashion,Dresses,58,MobileHub,FALSE,https://www.flipkart.com/Shukla-Venkatesh-Tenetur-Pro-Dresses-5-9237
Kari Ltd Tempora Pro Smartwatches 12,2724.49,4.3,2756,6101,2816,Electronics,Smartwatches,14,ElectroWorld,FALSE,https://www.flipkart.com/Kari-Ltd-Tempora-Pro-Smartwatches-12-6551
"Dhar, Munshi and Chaudhari Hic Plus Decor 8",21289.71,4.2,4153,5648,2629,Home,Decor,12,Cloudtail India,TRUE,"https://www.flipkart.com/Dhar,-Munshi-and-Chaudhari-Hic-Plus-Decor-8-5446"
Dhar-Rana Totam Plus Refrigerators 9,15800.96,3.2,7569,688,168,Appliances,Refrigerators,20,Flipkart Assured,FALSE,https://www.flipkart.com/Dhar-Rana-Totam-Plus-Refrigerators-9-4583
Tandon and Sons Occaecati Lite Dresses 2,1172.83,4,4684,6658,1216,Fashion,Dresses,0,FashionPlus,TRUE,https://www.flipkart.com/Tandon-and-Sons-Occaecati-Lite-Dresses-2-4258
Atwal Group Magni Pro T-Shirts 13,924.49,3.8,3214,1337,192,Fashion,T-Shirts,0,RetailNet,TRUE,https://www.flipkart.com/Atwal-Group-Magni-Pro-T-Shirts-13-7352
Brar Inc Aliquid Plus ACs 4,45769.75,4.2,2684,8224,27,Appliances,ACs,21,ElectroWorld,TRUE,https://www.flipkart.com/Brar-Inc-Aliquid-Plus-ACs-4-7386
Pandey PLC Molestias Pro Smartphones 13,133746.79,4.1,2856,3865,491,Electronics,Smartphones,12,FashionPlus,TRUE,https://www.flipkart.com/Pandey-PLC-Molestias-Pro-Smartphones-13-7073
Mukherjee-Kara Error Ultra Laptops 5,212738.46,3.1,231,5278,327,Electronics,Laptops,0,MobileHub,TRUE,https://www.flipkart.com/Mukherjee-Kara-Error-Ultra-Laptops-5-2074
"Raj, Sama and Venkatesh Quam Lite Smartwatches 7",37702.17,4.4,85,130,54,Electronics,Smartwatches,34,Cloudtail India,FALSE,"https://www.flipkart.com/Raj,-Sama-and-Venkatesh-Quam-Lite-Smartwatches-7-4826"
Goda-Edwin Enim Lite Headphones 12,6992.05,3.3,3496,589,169,Electronics,Headphones,69,Flipkart Assured,TRUE,https://www.flipkart.com/Goda-Edwin-Enim-Lite-Headphones-12-8412
"Suri, Kaul and Baria Earum Pro Kitchenware 6",41294.46,4.7,720,3699,593,Home,Kitchenware,7,ElectroWorld,TRUE,"https://www.flipkart.com/Suri,-Kaul-and-Baria-Earum-Pro-Kitchenware-6-9973"
"Chandra, Jaggi and Dayal Quis Pro Shoes 12",49194.85,4.8,32,1733,562,Fashion,Shoes,32,MobileHub,FALSE,"https://www.flipkart.com/Chandra,-Jaggi-and-Dayal-Quis-Pro-Shoes-12-5894"
Acharya-Radhakrishnan Fugit Lite Kitchenware 11,22815.52,4.3,384,9519,2813,Home,Kitchenware,0,Flipkart Assured,FALSE,https://www.flipkart.com/Acharya-Radhakrishnan-Fugit-Lite-Kitchenware-11-4162
"Dutt, Sachar and Grover Dolore Ultra Smartphones 13",29486.86,4.8,3887,6365,711,Electronics,Smartphones,67,Flipkart Assured,TRUE,"https://www.flipkart.com/Dutt,-Sachar-and-Grover-Dolore-Ultra-Smartphones-13-4627"
Bobal-Vyas Temporibus Pro Laptops 8,43813.22,4.1,9849,9653,1447,Electronics,Laptops,23,SuperComNet,TRUE,https://www.flipkart.com/Bobal-Vyas-Temporibus-Pro-Laptops-8-9359
Om Group Incidunt Plus Lighting 12,36848.47,3.3,8075,3770,49,Home,Lighting,35,HomeCare Solutions,FALSE,https://www.flipkart.com/Om-Group-Incidunt-Plus-Lighting-12-5270
"Halder, Sami and Gola Eum Lite Shoes 4",25319.12,3.5,2182,1177,230,Fashion,Shoes,0,FashionPlus,FALSE,"https://www.flipkart.com/Halder,-Sami-and-Gola-Eum-Lite-Shoes-4-5459"
Khurana and Sons Suscipit Lite Decor 5,8293.76,4.2,11,7648,2688,Home,Decor,60,ElectroWorld,FALSE,https://www.flipkart.com/Khurana-and-Sons-Suscipit-Lite-Decor-5-2111
Bajaj PLC Fugiat Lite Furniture 14,41514.45,3.7,3266,8377,2294,Home,Furniture,18,RetailNet,TRUE,https://www.flipkart.com/Bajaj-PLC-Fugiat-Lite-Furniture-14-3855
"Brar, Dugar and Ramakrishnan Veritatis Plus Lighting 11",28577.58,3,7521,5077,1029,Home,Lighting,0,ElectroWorld,TRUE,"https://www.flipkart.com/Brar,-Dugar-and-Ramakrishnan-Veritatis-Plus-Lighting-11-1400"
Khanna-Khalsa Et Pro Smartwatches 3,15190.6,3.1,1853,5497,1556,Electronics,Smartwatches,37,HomeCare Solutions,TRUE,https://www.flipkart.com/Khanna-Khalsa-Et-Pro-Smartwatches-3-1751
"Kibe, Mutti and Sibal Reprehenderit Lite Shoes 12",34534.7,3.3,2902,9775,2750,Fashion,Shoes,0,RetailNet,FALSE,"https://www.flipkart.com/Kibe,-Mutti-and-Sibal-Reprehenderit-Lite-Shoes-12-4609"
Tandon Group Iusto Ultra Lighting 7,17421.94,4.7,7246,2589,774,Home,Lighting,44,SuperComNet,TRUE,https://www.flipkart.com/Tandon-Group-Iusto-Ultra-Lighting-7-6668
"Karnik, Shanker and Anand Maiores Ultra Kitchenware 7",7066.53,4.7,8466,8962,654,Home,Kitchenware,51,RetailNet,TRUE,"https://www.flipkart.com/Karnik,-Shanker-and-Anand-Maiores-Ultra-Kitchenware-7-6886"
Majumdar and Sons Occaecati Lite Headphones 12,9718.25,4.2,5215,5669,341,Electronics,Headphones,47,Flipkart Assured,FALSE,https://www.flipkart.com/Majumdar-and-Sons-Occaecati-Lite-Headphones-12-7439
Misra-Krishna Odit Pro Kitchenware 14,9361.8,3.8,9900,4930,139,Home,Kitchenware,33,FashionPlus,TRUE,https://www.flipkart.com/Misra-Krishna-Odit-Pro-Kitchenware-14-1960
Dube Ltd Aliquam Pro Kitchenware 2,29100.59,4,7148,2285,446,Home,Kitchenware,0,HomeCare Solutions,FALSE,https://www.flipkart.com/Dube-Ltd-Aliquam-Pro-Kitchenware-2-1893
Aggarwal-Hans Dicta Lite Headphones 4,17639.77,4.5,672,9969,528,Electronics,Headphones,0,RetailNet,FALSE,https://www.flipkart.com/Aggarwal-Hans-Dicta-Lite-Headphones-4-7194
Batta LLC Iusto Ultra Headphones 15,40344.28,3.7,6444,9428,886,Electronics,Headphones,0,Flipkart Assured,TRUE,https://www.flipkart.com/Batta-LLC-Iusto-Ultra-Headphones-15-7677
"Reddy, Seth and Mandal Molestiae Ultra Headphones 12",18230.69,3.9,1323,1588,603,Electronics,Headphones,42,SuperComNet,TRUE,"https://www.flipkart.com/Reddy,-Seth-and-Mandal-Molestiae-Ultra-Headphones-12-9856"
Sule-Devan Sequi Lite Refrigerators 7,19309.32,4.7,8459,9439,2046,Appliances,Refrigerators,51,ElectroWorld,FALSE,https://www.flipkart.com/Sule-Devan-Sequi-Lite-Refrigerators-7-1335
Sama-Balakrishnan Atque Ultra Lighting 12,42120.73,3.9,8769,6767,1893,Home,Lighting,54,MobileHub,FALSE,https://www.flipkart.com/Sama-Balakrishnan-Atque-Ultra-Lighting-12-3585
Padmanabhan PLC Rem Plus Microwaves 15,36049.05,3.7,6785,2766,816,Appliances,Microwaves,0,FashionPlus,TRUE,https://www.flipkart.com/Padmanabhan-PLC-Rem-Plus-Microwaves-15-7616
"Patla, Jayaraman and Gole Error Pro Furniture 7",30853.89,3.3,8069,1388,516,Home,Furniture,0,FashionPlus,FALSE,"https://www.flipkart.com/Patla,-Jayaraman-and-Gole-Error-Pro-Furniture-7-1827"
Kumer and Sons Quidem Pro Furniture 4,26921.89,4.7,7561,9579,2854,Home,Furniture,20,Cloudtail India,FALSE,https://www.flipkart.com/Kumer-and-Sons-Quidem-Pro-Furniture-4-5823
Gole-Rajan Necessitatibus Plus Kitchenware 10,704.08,3.2,6721,3921,1168,Home,Kitchenware,0,FashionPlus,FALSE,https://www.flipkart.com/Gole-Rajan-Necessitatibus-Plus-Kitchenware-10-6625
Lata-Virk Officiis Pro Smartphones 3,87809.98,4.6,3574,8286,3465,Electronics,Smartphones,0,Cloudtail India,TRUE,https://www.flipkart.com/Lata-Virk-Officiis-Pro-Smartphones-3-2355
Narayan Inc Hic Ultra Decor 8,10712.73,3.6,9855,358,17,Home,Decor,0,HomeCare Solutions,TRUE,https://www.flipkart.com/Narayan-Inc-Hic-Ultra-Decor-8-3090
Thaker-Murty Rem Pro Refrigerators 14,33506.63,3.2,2537,1976,928,Appliances,Refrigerators,65,HomeCare Solutions,FALSE,https://www.flipkart.com/Thaker-Murty-Rem-Pro-Refrigerators-14-4365
Goswami-Deshpande Ab Ultra Dresses 9,13421.05,3.7,3739,7716,3504,Fashion,Dresses,57,Flipkart Assured,TRUE,https://www.flipkart.com/Goswami-Deshpande-Ab-Ultra-Dresses-9-9295
Borah Group Quaerat Lite ACs 7,48179.34,3,2967,1169,531,Appliances,ACs,65,RetailNet,FALSE,https://www.flipkart.com/Borah-Group-Quaerat-Lite-ACs-7-8011
Viswanathan and Sons Magnam Pro Smartphones 12,97066.81,4.2,3136,6273,3036,Electronics,Smartphones,0,RetailNet,TRUE,https://www.flipkart.com/Viswanathan-and-Sons-Magnam-Pro-Smartphones-12-3911
Pau-Sengupta Cum Ultra Refrigerators 6,16462.68,4.1,7707,6326,1245,Appliances,Refrigerators,42,FashionPlus,TRUE,https://www.flipkart.com/Pau-Sengupta-Cum-Ultra-Refrigerators-6-5172
Sehgal Inc Maxime Pro Shoes 2,6631.71,3.3,4469,1965,888,Fashion,Shoes,20,FashionPlus,FALSE,https://www.flipkart.com/Sehgal-Inc-Maxime-Pro-Shoes-2-9180
Sarkar-Vaidya Sed Pro Smartphones 15,142686.22,3.2,9226,4805,1054,Electronics,Smartphones,53,Flipkart Assured,FALSE,https://www.flipkart.com/Sarkar-Vaidya-Sed-Pro-Smartphones-15-8305
"Nanda, Shan and Konda Est Plus Dresses 7",43938.43,4.3,9274,7417,1877,Fashion,Dresses,66,ElectroWorld,TRUE,"https://www.flipkart.com/Nanda,-Shan-and-Konda-Est-Plus-Dresses-7-2303"
"Naidu, Sachar and Bhatnagar Porro Pro Jeans 5",23298.13,3.2,7152,8134,2230,Fashion,Jeans,15,MobileHub,FALSE,"https://www.flipkart.com/Naidu,-Sachar-and-Bhatnagar-Porro-Pro-Jeans-5-9759"
"Kapur, Dash and Pall Amet Lite Shoes 6",42461.52,3.9,8437,2481,1028,Fashion,Shoes,0,Cloudtail India,TRUE,"https://www.flipkart.com/Kapur,-Dash-and-Pall-Amet-Lite-Shoes-6-9029"
Gera PLC Molestias Plus Smartwatches 3,22756.05,3.4,7192,458,47,Electronics,Smartwatches,0,SuperComNet,FALSE,https://www.flipkart.com/Gera-PLC-Molestias-Plus-Smartwatches-3-5514
Golla-Deol Fugiat Ultra Dresses 11,27202.11,4.3,7234,3489,1681,Fashion,Dresses,65,Flipkart Assured,FALSE,https://www.flipkart.com/Golla-Deol-Fugiat-Ultra-Dresses-11-8910
Nigam Ltd Eligendi Lite Smartphones 4,72875.95,4.1,7088,9360,685,Electronics,Smartphones,0,Flipkart Assured,TRUE,https://www.flipkart.com/Nigam-Ltd-Eligendi-Lite-Smartphones-4-4046
Kari Ltd At Pro Decor 15,34230.48,3.7,3224,8199,1304,Home,Decor,0,SuperComNet,FALSE,https://www.flipkart.com/Kari-Ltd-At-Pro-Decor-15-4681
Prakash-Reddy Necessitatibus Plus Smartwatches 12,29923.99,4.5,7698,6154,2742,Electronics,Smartwatches,0,MobileHub,FALSE,https://www.flipkart.com/Prakash-Reddy-Necessitatibus-Plus-Smartwatches-12-2229
Chaudry Inc Eius Ultra Smartwatches 11,19515.99,3.6,8122,3671,273,Electronics,Smartwatches,7,Cloudtail India,FALSE,https://www.flipkart.com/Chaudry-Inc-Eius-Ultra-Smartwatches-11-5740
Sawhney-Yogi Soluta Pro Smartwatches 6,1052.37,4.3,7401,4892,936,Electronics,Smartwatches,23,MobileHub,TRUE,https://www.flipkart.com/Sawhney-Yogi-Soluta-Pro-Smartwatches-6-4180
Rattan-Das Atque Ultra Microwaves 9,44048.73,4.5,1452,1350,324,Appliances,Microwaves,70,Cloudtail India,FALSE,https://www.flipkart.com/Rattan-Das-Atque-Ultra-Microwaves-9-7559
Mand and Sons Facilis Ultra Refrigerators 1,33102.97,3.6,2816,4691,1327,Appliances,Refrigerators,0,HomeCare Solutions,TRUE,https://www.flipkart.com/Mand-and-Sons-Facilis-Ultra-Refrigerators-1-2046
"Loke, Shukla and Pingle Necessitatibus Lite Shoes 10",40916.61,4,5940,8796,4156,Fashion,Shoes,56,MobileHub,TRUE,"https://www.flipkart.com/Loke,-Shukla-and-Pingle-Necessitatibus-Lite-Shoes-10-2993"
Saha-Bahl Dolores Ultra Smartphones 2,78529.61,4.3,7762,504,218,Electronics,Smartphones,27,MobileHub,TRUE,https://www.flipkart.com/Saha-Bahl-Dolores-Ultra-Smartphones-2-5464
"Chaudhuri, Narula and Keer Temporibus Ultra Dresses 8",31665.87,3.8,8686,824,142,Fashion,Dresses,69,MobileHub,TRUE,"https://www.flipkart.com/Chaudhuri,-Narula-and-Keer-Temporibus-Ultra-Dresses-8-8014"
"Natarajan, Narain and Dayal Voluptatum Ultra Headphones 6",39238.54,3.6,3268,696,207,Electronics,Headphones,37,RetailNet,FALSE,"https://www.flipkart.com/Natarajan,-Narain-and-Dayal-Voluptatum-Ultra-Headphones-6-6814"
Mane-Nayar Aperiam Pro Laptops 10,176679.77,4.9,580,1057,521,Electronics,Laptops,0,Flipkart Assured,FALSE,https://www.flipkart.com/Mane-Nayar-Aperiam-Pro-Laptops-10-2946
Kota-Kar Nihil Plus Smartwatches 11,17381.2,3,6057,8624,190,Electronics,Smartwatches,25,SuperComNet,TRUE,https://www.flipkart.com/Kota-Kar-Nihil-Plus-Smartwatches-11-2021
Menon and Sons Rerum Lite Furniture 9,4443.21,4.5,9954,2473,1151,Home,Furniture,0,HomeCare Solutions,FALSE,https://www.flipkart.com/Menon-and-Sons-Rerum-Lite-Furniture-9-6915
Saxena PLC Explicabo Pro ACs 1,20495.05,4.9,7791,4377,1005,Appliances,ACs,47,ElectroWorld,TRUE,https://www.flipkart.com/Saxena-PLC-Explicabo-Pro-ACs-1-7658
"Sarin, Devi and Soman A Lite T-Shirts 8",1142.64,4.5,1448,5022,2305,Fashion,T-Shirts,39,SuperComNet,FALSE,"https://www.flipkart.com/Sarin,-Devi-and-Soman-A-Lite-T-Shirts-8-6012"
Johal and Sons Qui Pro Refrigerators 14,63479.34,3.4,9205,8248,1478,Appliances,Refrigerators,28,MobileHub,TRUE,https://www.flipkart.com/Johal-and-Sons-Qui-Pro-Refrigerators-14-8678
Chhabra-Deep Occaecati Ultra Refrigerators 12,20456.89,3.6,9663,3378,356,Appliances,Refrigerators,60,HomeCare Solutions,TRUE,https://www.flipkart.com/Chhabra-Deep-Occaecati-Ultra-Refrigerators-12-7911
"Prashad, Radhakrishnan and Mittal Minima Ultra Shoes 6",38041.51,3.3,7312,2398,108,Fashion,Shoes,46,SuperComNet,FALSE,"https://www.flipkart.com/Prashad,-Radhakrishnan-and-Mittal-Minima-Ultra-Shoes-6-5806"
Muni Ltd Odio Plus T-Shirts 11,801.09,4.8,7469,7835,964,Fashion,T-Shirts,0,Flipkart Assured,FALSE,https://www.flipkart.com/Muni-Ltd-Odio-Plus-T-Shirts-11-8074
Reddy LLC Odit Ultra Kitchenware 6,11241.66,4.1,5601,6351,1201,Home,Kitchenware,5,MobileHub,TRUE,https://www.flipkart.com/Reddy-LLC-Odit-Ultra-Kitchenware-6-9253
Goyal-Karan Nam Pro Dresses 11,45572.56,3.4,891,4025,345,Fashion,Dresses,33,FashionPlus,TRUE,https://www.flipkart.com/Goyal-Karan-Nam-Pro-Dresses-11-3707
"Atwal, Rajagopal and Mand Facilis Lite Shoes 7",5384.82,3.4,2729,1250,256,Fashion,Shoes,50,SuperComNet,FALSE,"https://www.flipkart.com/Atwal,-Rajagopal-and-Mand-Facilis-Lite-Shoes-7-2234"
"Chaudhari, Jhaveri and Wadhwa Laboriosam Ultra Lighting 11",25856.18,4.2,2469,1046,348,Home,Lighting,67,ElectroWorld,TRUE,"https://www.flipkart.com/Chaudhari,-Jhaveri-and-Wadhwa-Laboriosam-Ultra-Lighting-11-1371"
Chadha-Deshmukh Odio Pro Washing Machines 2,26361.45,4.4,3313,2261,61,Appliances,Washing Machines,67,SuperComNet,TRUE,https://www.flipkart.com/Chadha-Deshmukh-Odio-Pro-Washing-Machines-2-6786
Pathak and Sons Ad Plus Refrigerators 14,49730.98,4.9,6530,352,69,Appliances,Refrigerators,17,RetailNet,FALSE,https://www.flipkart.com/Pathak-and-Sons-Ad-Plus-Refrigerators-14-6383
Anne-Venkatesh Autem Lite Headphones 9,43792.02,4,5814,5531,1564,Electronics,Headphones,16,Flipkart Assured,TRUE,https://www.flipkart.com/Anne-Venkatesh-Autem-Lite-Headphones-9-2186
Kari-Devan Inventore Ultra Lighting 3,5338.19,3.1,2128,841,134,Home,Lighting,61,HomeCare Solutions,FALSE,https://www.flipkart.com/Kari-Devan-Inventore-Ultra-Lighting-3-1337
Roy-Dhillon Odio Plus Shoes 8,38445.2,4.5,1946,2514,492,Fashion,Shoes,0,HomeCare Solutions,FALSE,https://www.flipkart.com/Roy-Dhillon-Odio-Plus-Shoes-8-5518
Sodhi-Rajagopal Quia Plus Washing Machines 13,25371.58,3.8,3853,293,72,Appliances,Washing Machines,69,ElectroWorld,FALSE,https://www.flipkart.com/Sodhi-Rajagopal-Quia-Plus-Washing-Machines-13-6937
Suresh-Butala Veritatis Plus Jeans 14,19876.98,3.9,7617,4077,455,Fashion,Jeans,38,HomeCare Solutions,FALSE,https://www.flipkart.com/Suresh-Butala-Veritatis-Plus-Jeans-14-1245
"Ramanathan, Parekh and Chaudhuri Alias Plus Jeans 1",24781.64,4,784,7132,2383,Fashion,Jeans,0,FashionPlus,FALSE,"https://www.flipkart.com/Ramanathan,-Parekh-and-Chaudhuri-Alias-Plus-Jeans-1-6438"
Dugar-Lal Accusamus Ultra Dresses 15,32984.5,3.3,2734,4676,641,Fashion,Dresses,33,Cloudtail India,TRUE,https://www.flipkart.com/Dugar-Lal-Accusamus-Ultra-Dresses-15-3759
Mallick-Goel Sequi Pro Smartphones 9,21802.43,3.8,9603,6368,2965,Electronics,Smartphones,62,Cloudtail India,TRUE,https://www.flipkart.com/Mallick-Goel-Sequi-Pro-Smartphones-9-4336
"Vala, Cheema and Bhargava Necessitatibus Lite Microwaves 7",10603.86,3.7,1244,4875,2074,Appliances,Microwaves,51,FashionPlus,TRUE,"https://www.flipkart.com/Vala,-Cheema-and-Bhargava-Necessitatibus-Lite-Microwaves-7-5329"
Kaur PLC Commodi Lite Shoes 4,40758.12,3.6,1570,3420,1404,Fashion,Shoes,55,HomeCare Solutions,FALSE,https://www.flipkart.com/Kaur-PLC-Commodi-Lite-Shoes-4-8965
